:START_ID,:END_ID,:TYPE
Disclosure_Disclosure_204_1_Proportion_of_spending_on_local_s,Topic_GRI_204_Procurement_Practices_2016_3,belongsToTopic
Disclosure_Disclosure_204_1_Proportion_of_spending_on_local_s,Requirement_-4190128387872542815,requires
Requirement_-4190128387872542815,Disclosure_Disclosure_204_1_Proportion_of_spending_on_local_s,belongsToDisclosure
Disclosure_Disclosure_204_1_Proportion_of_spending_on_local_s,Requirement_4958601105367167758,requires
Requirement_4958601105367167758,Disclosure_Disclosure_204_1_Proportion_of_spending_on_local_s,belongsToDisclosure
Framework_GRI_415_Public_Policy_2016_pdf,Topic_GRI_415_Public_Policy_2016,contains
Topic_GRI_415_Public_Policy_2016,Framework_GRI_415_Public_Policy_2016_pdf,belongsToFramework
Framework_GRI_415_Public_Policy_2016_pdf,Topic_GRI_415_Public_Policy_2016,contains
Topic_GRI_415_Public_Policy_2016,Framework_GRI_415_Public_Policy_2016_pdf,belongsToFramework
Framework_GRI_415_Public_Policy_2016_pdf,Topic_GRI_415_Public_Policy_2016_3,contains
Topic_GRI_415_Public_Policy_2016_3,Framework_GRI_415_Public_Policy_2016_pdf,belongsToFramework
Topic_GRI_415_Public_Policy_2016_3,Topic_1_Topic_management_disclosures_7,contains
Topic_1_Topic_management_disclosures_7,Topic_GRI_415_Public_Policy_2016_3,belongsToTopic
Topic_GRI_415_Public_Policy_2016_3,Topic_2_Topic_disclosures_8,contains
Topic_2_Topic_disclosures_8,Topic_GRI_415_Public_Policy_2016_3,belongsToTopic
Topic_GRI_415_Public_Policy_2016_3,Disclosure_Disclosure_415_1_Political_contributions_8,contains
Disclosure_Disclosure_415_1_Political_contributions_8,Topic_GRI_415_Public_Policy_2016_3,belongsToTopic
Topic_GRI_415_Public_Policy_2016_3,Topic_Disclosure_3_3_in_GRI_3_Material_Topics_2021_see,contains
Topic_Disclosure_3_3_in_GRI_3_Material_Topics_2021_see,Topic_GRI_415_Public_Policy_2016_3,belongsToTopic
Topic_GRI_415_Public_Policy_2016_3,Topic_1_Topic_management_disclosures,contains
Topic_1_Topic_management_disclosures,Topic_GRI_415_Public_Policy_2016_3,belongsToTopic
Topic_1_Topic_management_disclosures,Requirement_0,requires
Requirement_0,Topic_1_Topic_management_disclosures,belongsToDisclosure
Topic_1_Topic_management_disclosures,Requirement_-9008117195639874367,requires
Requirement_-9008117195639874367,Topic_1_Topic_management_disclosures,belongsToDisclosure
Topic_GRI_415_Public_Policy_2016_3,Topic_2_Topic_disclosures,contains
Topic_2_Topic_disclosures,Topic_GRI_415_Public_Policy_2016_3,belongsToTopic
Topic_GRI_415_Public_Policy_2016_3,Disclosure_Disclosure_415_1_Political_contributions,contains
Disclosure_Disclosure_415_1_Political_contributions,Topic_GRI_415_Public_Policy_2016_3,belongsToTopic
Disclosure_Disclosure_415_1_Political_contributions,Requirement_-100273883677308273,requires
Requirement_-100273883677308273,Disclosure_Disclosure_415_1_Political_contributions,belongsToDisclosure
